,Component_,Connector_Data_,Connector_,Pattern_,Quality_Attribute_,Technology_,Requirement_,,
"method
","legacy
","socket
","retrieve
","pattern
","accessibility
","technology
",chatbot,software,string
"methods
","component
","data
","retrieves
","tactic
","accessible
","framework
",bot,software,public
"stored procedure
","components
","payload
","retrieving
","blocking
","accountability
","protocol
",management,red_hat,import
"procedure
","application
","payloads
","commit
","synchronous
","accountable
","standard
",analytics,snowflake,return
"procedures
","applications
","object
","commits
","sync
","accuracy
","platform
",business,website,code
"operation
","machine
","objects
","committing
","half-sync
","accurate
","provider
",dashboard,excel,print
"operations
","machines
","messages
","consuming
","half sync
","adaptability
","library
",chart,cookie,println
"interface
","server
","message
","consume
","asynchronous
","adaptable
","language
",price,blog,static
"interfaces
","servers
","XML
","consumes
","async
","adapte
","database
",mobile,ad,array
"field
","client
","dump
","communication
","half-async
","administrability
","message queues
",customer_experience,community,jsonobject
"fields
","clients
","updates
","communications
","half async
","administrable
","message queueing
",user_experience,consent,return_value
"event
","users
","requests
","communicate
","non-blocking
","affordability
","messaging system
",stock_market,sheet,artifactid
"events
","user
","request
","communicated
","blocking
","affordable
","product
",market,excel_sheet,id
"button
","back end
","map 
","communicates
","broadcast
","auditability
","toolkit
",stock,new,main
"buttons
","back ends
","structure
","execute
","messaging
","auditable
","kit
",functionality,contact,int
"text box
","service
","structures
","executes
","broker
","availability
","sdk
",case,site,integer
"endpoint
","services
","map
","execution
","layer
","available
","dbms
",customer,email,function
"endpoints
","system
","maps
","connect
","client/server
","compatibility
","rdbms
",company,amazon,def
"job
","systems
","reply
","connected
","client-server
","compatible
","format
",artificial_intelligence,add,const
"jobs
","thread
","replies
","connects
","client server
","composability
","servers
",cloud_based,subscripe,header
"function
","threads
","item 
","connects
","client
","composable
","clients
",cloud,org,post
"functions
","platform
","items
","connection
","server
","configurability
","api
",financial_sector,code,menu
"class
","platforms
","list
","connectivity
","callback
","configurable
","stack
",trade,medium,null
"classes
","devices
","lists
","write
","loosely coupled
","correctness
",".NET
",industry,Medium,let
"file
","device
","result
","writes
","multicast
","credibility
",".NET Winform
",policy,don,groupid
"files
","source
","results
","writing
","MVC
","credible
","ActiveMQ
",company,absolutely,void
"module
","sources
","tasks
","upload
","modal view controller
","customizability
","activemq
",data_warehouse,dzone,
modules,"beans
","task
","uploading
","modalviewcontroller
","customizable
","activex
",warehouse,article,
,"bean
","information
","uploaded
","MVP
","debuggability
","ADO.Net Data Service
",integration,course,
,"table
","call
","work with
","MVVM
","debuggable
","AJAX
",network,google,
,"tables
","calls
","send
","controller
","debatable
","Amazon SQS
",parse,microsoft,
,"record
","kb 
","sends
","view
","degradability
","AMQP
",parser,tutorial,
,"records
","mb
","sending
","NIO
","degradable
","amqp
",value,cooky,
,"queue
","data
","sent
","messaging
","determinability
","Apache Camel
",employee,comment,
,"queues
",notification,"implementing
","queuing
","determinable
","Apache MINA
",machine_learning,january,
,"front ends
",token,"implement
","queue
","demonstrability
","AppHarbor
",big_data,february,
,"front end
",,"implements
","fifo
","demonstrable
","ASMX
",enterprise,march,
,"mainframe
",,"store
","publish subscribe
","dependability
","ASP.NET
",log,april,
,"host
",,"stores
","publish-subscribe
","dependable
","ASP.Net
",performance,may,
,"hosts
",,"storing
","subscribe/publish
","depend
","Asp.net
",native,june,
,"APIs
",,"forward
","subscribe-publish
","deployability
","asp.net
",,july,
,"API
",,"forwards
","publish/subscribe
","deployable
","ASP.NET MVC
",,august,
,"app
",,"forwarding
","publish-subscribe
","deploy
","ASP.Net MVC
",,september,
,"apps
",,"check
","publish and subscribe
","distributability
","Avro
",,october,
,"boxes
",,"checking
","pub/sub
","distributable
","AWS
",,november,
,"box
",,"checks
","pub sub
","distribute
","Axis
",,december,
,"Q
",,"changes
","pub-sub
","durability
","Backbone
",,learn,
,"physical locations
",,"change
","broadcast
","durable
","backbone
",,interview,
,"physical location
",,"stream
","event based
","effectiveness
","BAPI
",,know,
,"engine
",,"streams
","event-based
","effective
","BAPIs
",,like,
,"engines
",,"streaming
","event/based
","efficiency
","BERT
",,just,
,"process
",,"receive
","event driven
","efficient
","BinaryFormatter
",,ibm,
,"processes
",,"receives
","event-driven
","evolvability
","Biztalk
",,IBM,
,"program
",,"received
","event/driven
","evolve
","biztalk
",,facebook,
,"programs
",,"receiving
","REST
","evolvable
","BSON
",,Facebook,
,"listener
",,"deliver
","RESTful
","extensibility
","ByteBuffers
",,,
,"Listeners
",,"delivers
","routing
","extensible
","C
",,,
,"workers
",,"delivering
","translator
","fidelity
","C#
",,,
,"worker
",,"call
","translate
","flexibility
","celery
",,,
,"computers
",,"calls
","router
","flexible
","Clojure
",,,
,"computer
",,"calling
","channel
","inspectability
","CloudAMQP
",,,
,"model
",,"called
","endpoint
","inspectable
","cloudControl
",,,
,"models
",,"talk with
","dispatcher
","installability
","com
",,,
,"entities
",,"expose
","publisher
","installable
","COM
",,,
,"entity
",,"exposes
","subscriber
","integrity
","Compact Framework .NET
",,,
,"data store
",,"exposing
","rpc
","integrate
","Component Object Model (COM)
",,,
,"datastore
",,"accessing
","remote procedure
","interchangeability
","CORBA
",,,
,"store
",,"access
","remote-procedure
","interchangeable
","CORBA ORB
",,,
,"context
",,"accessed
","remote/procedure
","interoperability
","Crystal Reports
",,,
,"ViewModels
",,"interacting
","poll
","interoperable
","cxf
",,,
,"database
",,"interact
","polling
","latency
","D-Bus
",,,
,"producers
",,"interacts
","peer to peer
","learnability
","Delphi
",,,
,"producer
",,"interaction
","peer-to-peer
","maintainability
","Django
",,,
,"consumers
",,"fed from
","peer2peer
","maintainable
","Django/Python
",,,
,"consumer
",,"read
","p2p
","maintenance
","Duet
",,,
,"session
",,"reads
","supernode
","manageability
","EC2
",,,
,"sessions
",,"reading
","service-oriented
","manageable
","ECC6.0
",,,
,"logic
",,"dumps
","service oriented
","mobility
","EJB
",,,
