,"Design using 
patterns and 
components","Achieve quality attributes 
using  components
 design","Implement 
technologies 
and components design","Analyze decision 
factors","Compare and 
evaluate 
technologies","Design
using multiple 
technologies"
Identify concepts,5,4,4,2,2,5
Identify concepts,4,5,4,3,3,5
Identify concepts,2,5,4,3,3,5
Identify concepts,2,4,3,2,2,5
Identify concepts,3,3,4,2,3,3
Identify concepts,4,3,5,3,2,2
Identify concepts,4,3,3,4,3,4
Identify concepts,3,4,5,2,4,2
Identify concepts,3,4,4,2,4,4
Identify concepts,3,4,4,2,3,3
Identify concepts,4,3,2,2,5,4
Identify concepts,3,4,3,2,3,2
Identify concepts,2,5,4,4,3,3
Identify concepts,3,4,2,3,3,4
Identify concepts,3,4,5,5,3,4
Identify concepts,4,3,4,3,4,4
Identify concepts,2,3,4,4,4,4
Identify concepts,5,5,4,2,4,5
Identify concepts,2,4,5,3,3,4
Identify concepts,3,4,4,3,,3
Identify concepts,4,3,4,2,,4
Identify concepts,4,3,3,3,,3
Identify concepts,5,4,2,2,,4
Identify concepts,4,5,2,5,,4
Identify concepts,4,2,3,5,,2
Identify concepts,,4,2,4,,4
Identify concepts,,4,4,5,,4
Identify concepts,,2,2,4,,3
Identify concepts,,4,4,4,,4
Identify concepts,,2,3,5,,
Identify concepts,,5,2,4,,
Identify concepts,,5,2,2,,
Identify concepts,,4,3,3,,
Identify concepts,,5,3,2,,
Identify concepts,,5,4,,,
Identify concepts,,4,4,,,
Identify concepts,,5,4,,,
Identify concepts,,4,4,,,
Identify concepts,,2,4,,,
Identify concepts,,4,4,,,
Identify concepts,,2,2,,,
Identify concepts,,3,4,,,
Identify concepts,,4,3,,,
Identify concepts,,3,4,,,
Identify concepts,,3,2,,,
Identify concepts,,2,3,,,
Identify concepts,,4,4,,,
Identify concepts,,4,5,,,
Identify concepts,,4,4,,,
Identify concepts,,4,4,,,
Identify concepts,,3,4,,,
Identify concepts,,4,4,,,
Identify concepts,,4,5,,,
Identify concepts,,4,5,,,
Identify concepts,,4,5,,,
Identify concepts,,3,4,,,
Identify concepts,,5,3,,,
Identify concepts,,3,3,,,
Identify concepts,,3,3,,,
Identify concepts,,2,3,,,
Identify concepts,,2,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,5,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,3,,,
Identify concepts,,,5,,,
Identify concepts,,,5,,,
Identify concepts,,,3,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,2,,,
Identify concepts,,,5,,,
Identify concepts,,,4,,,
Identify concepts,,,5,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,3,,,
Identify concepts,,,3,,,
Identify concepts,,,5,,,
Identify concepts,,,3,,,
Identify concepts,,,2,,,
Identify concepts,,,4,,,
Identify concepts,,,2,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,3,,,
Identify concepts,,,2,,,
Identify concepts,,,2,,,
Identify concepts,,,2,,,
Identify concepts,,,3,,,
Identify concepts,,,4,,,
Identify concepts,,,3,,,
Identify concepts,,,3,,,
Identify concepts,,,3,,,
Identify concepts,,,3,,,
Identify concepts,,,2,,,
Identify concepts,,,5,,,
Identify concepts,,,3,,,
Identify concepts,,,4,,,
Identify concepts,,,3,,,
Identify concepts,,,3,,,
Identify concepts,,,3,,,
Identify concepts,,,3,,,
Identify concepts,,,5,,,
Identify concepts,,,3,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,5,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,3,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,3,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,3,,,
Identify concepts,,,4,,,
Identify concepts,,,5,,,
Identify concepts,,,4,,,
